recv_ts_utc,exch_ts_ms,inst_id,side,pos_side,sz,bk_px,raw_json
2026-09-01T00:19:08.165228Z,1788221947085,PUMP-USDT-SWAP,sell,long,593,0.00463,"{""bkLoss"":""0"",""bkPx"":""0.00463"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""593"",""ts"":""1788221947085""}"
2026-09-01T00:19:24.206476Z,1788221963215,ETH-USDT-SWAP,buy,short,8.89,2473.78,"{""bkLoss"":""0"",""bkPx"":""2473.78"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""8.89"",""ts"":""1788221963215""}"
2026-09-01T00:19:24.210648Z,1788221963215,SOL-USDT-SWAP,buy,short,13.82,103.33,"{""bkLoss"":""0"",""bkPx"":""103.33"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""13.82"",""ts"":""1788221963215""}"
2026-09-01T00:19:24.214744Z,1788221963215,UNI-USDT-SWAP,buy,short,141,5.391,"{""bkLoss"":""0"",""bkPx"":""5.391"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""141"",""ts"":""1788221963215""}"
2026-09-01T00:19:24.621902Z,1788221963735,AEON-USDT-SWAP,buy,short,90,0.06321,"{""bkLoss"":""0"",""bkPx"":""0.06321"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""90"",""ts"":""1788221963735""}"
2026-09-01T00:19:31.048530Z,1788221970275,UNI-USDT-SWAP,buy,short,23,5.398,"{""bkLoss"":""0"",""bkPx"":""5.398"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""23"",""ts"":""1788221970275""}"
2026-09-01T00:19:31.061652Z,1788221969866,ZEC-USDT-SWAP,buy,short,38,857.64,"{""bkLoss"":""0"",""bkPx"":""857.64"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""38"",""ts"":""1788221969866""}"
2026-09-01T00:19:31.065335Z,1788221969866,UNI-USDT-SWAP,buy,short,171,5.394,"{""bkLoss"":""0"",""bkPx"":""5.394"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""171"",""ts"":""1788221969866""}"
2026-09-01T00:19:32.489906Z,1788221971164,PUMP-USDT-SWAP,sell,long,87,0.004617,"{""bkLoss"":""0"",""bkPx"":""0.004617"",""ccy"":"""",""posSide"":""long"",""side"":""sell"",""sz"":""87"",""ts"":""1788221971164""}"
2026-09-01T00:20:10.465909Z,1788222009433,ARB-USDT-SWAP,buy,short,2660.4,0.11114,"{""bkLoss"":""0"",""bkPx"":""0.11114"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""2660.4"",""ts"":""1788222009433""}"
2026-09-01T00:20:29.235683Z,1788222028153,LA-USDT-SWAP,buy,short,1,0.06252,"{""bkLoss"":""0"",""bkPx"":""0.06252"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""1"",""ts"":""1788222028153""}"
2026-09-01T00:20:34.242791Z,1788222033098,SPK-USDT-SWAP,buy,short,6,0.01992,"{""bkLoss"":""0"",""bkPx"":""0.01992"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""6"",""ts"":""1788222033098""}"
2026-09-01T00:20:45.279095Z,1788222044084,XAU-USDT-SWAP,buy,short,1,4462.5,"{""bkLoss"":""0"",""bkPx"":""4462.5"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""1"",""ts"":""1788222044084""}"
2026-09-01T00:20:53.408283Z,1788222052076,AAVE-USDT-SWAP,buy,short,146.1,125.4,"{""bkLoss"":""0"",""bkPx"":""125.4"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""146.1"",""ts"":""1788222052076""}"
2026-09-01T00:20:59.085380Z,1788222057860,XAU-USDT-SWAP,buy,short,150,4463.3,"{""bkLoss"":""0"",""bkPx"":""4463.3"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""150"",""ts"":""1788222057860""}"
2026-09-01T00:21:01.293781Z,1788222060576,ZEC-USDT-SWAP,buy,short,500,858.09,"{""bkLoss"":""0"",""bkPx"":""858.09"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""500"",""ts"":""1788222060576""}"
2026-09-01T00:21:04.695675Z,1788222064015,XAU-USDT-SWAP,buy,short,398,4463.7,"{""bkLoss"":""0"",""bkPx"":""4463.7"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""398"",""ts"":""1788222064015""}"
2026-09-01T00:21:08.965965Z,1788222068159,ARB-USDT-SWAP,buy,short,78.9,0.11131,"{""bkLoss"":""0"",""bkPx"":""0.11131"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""78.9"",""ts"":""1788222068159""}"
2026-09-01T00:21:11.984718Z,1788222071026,XAU-USDT-SWAP,buy,short,174,4464.1,"{""bkLoss"":""0"",""bkPx"":""4464.1"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""174"",""ts"":""1788222071026""}"
2026-09-01T00:21:13.457706Z,1788222072637,XAU-USDT-SWAP,buy,short,1198,4464.4,"{""bkLoss"":""0"",""bkPx"":""4464.4"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""1198"",""ts"":""1788222072637""}"
2026-09-01T00:21:15.345220Z,1788222074312,ETH-USDT-SWAP,buy,short,4.69,2475.2,"{""bkLoss"":""0"",""bkPx"":""2475.2"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""4.69"",""ts"":""1788222074312""}"
2026-09-01T00:21:25.908479Z,1788222085039,XAU-USDT-SWAP,buy,short,20,4465.2,"{""bkLoss"":""0"",""bkPx"":""4465.2"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""20"",""ts"":""1788222085039""}"
2026-09-01T00:21:33.123238Z,1788222092304,BTC-USDT-SWAP,buy,short,1.81,78815.3,"{""bkLoss"":""0"",""bkPx"":""78815.3"",""ccy"":"""",""posSide"":""short"",""side"":""buy"",""sz"":""1.81"",""ts"":""1788222092304""}"
